id,english word,type,chinese meaning,sentence1,sentence2,sentence3
170,physical,adj. & n.,物理的；身体的；物质的；根据自然规律的，符合自然法则的；体格检查,"Regular physical exercise is good for your heart.","There is no physical evidence connecting him to the crime.","I have to get a physical from my doctor for the insurance policy."
171,consultant,n.,顾问；咨询者；会诊医生,"They brought in a management consultant to improve efficiency.","The surgeon is a consultant in this hospital.","She works as an independent IT consultant."
172,encourage,vt.,鼓励，怂恿；激励；支持,"My parents always encourage me to do my best.","The sunny weather encourages people to go outdoors.","The tax incentive encourages business investment."
173,whereas,conj. & n.,然而；鉴于,"He likes the mountains, whereas she prefers the beach.","Whereas the law is clear, the judge had little choice.","The document begins with a formal whereas."
174,installment,n.,安装；分期付款；部分；就职,"I paid for the car in monthly installments.","The final installment of the trilogy was the most exciting.","The installment of the new software took an hour."
175,syllabus,n.,教学大纲，摘要；课程表,"The professor handed out the course syllabus on the first day.","The exam covers everything that is listed on the syllabus.","Check the syllabus to see which chapters to read."
176,conclusion,n.,结论；结局；推论,"In conclusion, I believe the project was a great success.","The detective's conclusion was that it was a case of murder.","We finally reached an agreement at the conclusion of the meeting."
177,adaptation,n.,适应；改编；改编本，改写本,"The film is an adaptation of a famous novel.","Adaptation to high altitudes takes time.","Darwin's theory of evolution is based on adaptation."
178,cheerleading,n.,带领啦啦队,"She tried out for the cheerleading squad in high school.","Cheerleading requires a lot of athleticism and teamwork.","The crowd was energized by the cheerleading at halftime."
179,inaugurate,vt.,创新；开辟；开创；举行开幕典礼；举行就职典礼,"The new president will be inaugurated in January.","The city plans to inaugurate a new high-speed rail line.","The gallery is inaugurating its new wing with a special exhibit."
180,delegate,n. & v.,代表，会议代表；委员会成员；授（权），把……委托给他人；委派……为代表，任命,"He was chosen as the union's delegate to the conference.","You need to learn to delegate tasks to your employees.","The power to make this decision was delegated to the committee."
181,subordinate,n. & vt.,部属，下属，下级；从属，次要；使……居下位；使……服从,"A good manager listens to his subordinates.","Individual needs are subordinate to the group's goals.","He had to subordinate his own ambitions for the good of the family."
182,domain,n.,领域；域名；产业；地产,"She is an expert in the domain of theoretical physics.","The castle and its surrounding domain are open to tourists.","We need to register an internet domain name for the company."
183,malfunction,v. & n.,发生故障，不起作用；故障，失灵,"The machine is malfunctioning and needs to be repaired.","A technical malfunction caused the plane to be delayed.","The device will alert you if there's a malfunction."
184,foster,v. & adj.,促进；抚育（他人子女一段时间）；收养；把（孩子）交托给养父母；代养的，寄养的,"The new program is designed to foster a love of reading.","She decided to foster a child who needed a safe home.","A foster family provides temporary care for children."
185,feedback,n.,反馈；成果，资料；回复,"The teacher gave me some helpful feedback on my essay.","The microphone caused a high-pitched feedback whine.","Customer feedback is essential for improving our services."
186,temperance,n.,戒酒；节欲；（气候等的）温和,"The Temperance movement in the 19th century opposed alcohol.","He preached a life of virtue and temperance.","The temperance of the spring climate was very pleasant."
187,rival,n. & v.,竞争对手；可与……匹敌的人；同行者；与…竞争；比得上某人；赶上（某人）；竞争,"The two companies have been rivals for decades.","No other city can rival Rome for its history and art.","She was a rival for his affection."
188,devote,v.,致力于，奉献于；把……用于，作……专用；降祸于，诅咒,"I want to devote more time to my family.","She has devoted her whole life to helping the poor.","This chapter is devoted to the causes of the war."
189,motivated,adj. & vt.,有动机的；有积极性的；使产生动机；激发……的积极性,"She is a highly motivated and intelligent student.","He feels motivated when he sees his progress.","The threat of a fine is what motivated him to pay the bill."
190,deliver,vt. & vi.,交付；发表；递送；释放；给予（打击）；给…接生,"The postman delivers the mail every morning at 8 AM.","He will deliver a speech to the graduates.","The doctor helped to deliver the baby safely."
191,risk,n. & vt.,风险；危险；冒险,"There is always a certain amount of risk in starting a new business.","Don't risk your health by smoking.","He took a big risk investing all his savings."
192,curiosity,n.,好奇，好奇心；珍品，古董，古玩,"The child's natural curiosity led him to take the clock apart.","Just out of curiosity, how much did the car cost?","The shop was full of antiques and old curiosities."
193,assignment,n.,分配；任务；作业；功课,"His first assignment as a reporter was to cover a local fire.","The math assignment is due next Tuesday.","She accepted a diplomatic assignment in Brazil."
194,adapt,vt. & vi.,使适应；改编,"You need to adapt yourself to the new school environment.","The author agreed to adapt his book into a movie script.","It takes time to adapt to living in a foreign country."
195,economy,n.,经济；节约；理财,"The country's economy has been growing steadily.","We need to make cuts to achieve an economy of scale.","She writes about the economy for a financial newspaper."
196,hostile,adj. & n.,敌对的，敌方的；怀敌意的,"The hostile crowd threw stones at the police.","The two countries have been hostile to each other for years.","We encountered hostile weather conditions during the climb."
197,disproportionate,adj.,不成比例的,"A disproportionate number of top athletes come from small towns.","The punishment seemed disproportionate to the crime.","Low-income families pay a disproportionate share of their income on rent."
198,cater,vt.,投合，迎合；满足需要；提供饮食及服务,"The hotel restaurant caters for 200 guests a night.","The new resort caters to the needs of wealthy tourists.","This magazine caters for people who are interested in gardening."
199,wastewater,n.,废水，污水,"The factory was fined for discharging wastewater into the river.","A treatment plant purifies the city's wastewater.","Recycling wastewater for irrigation saves fresh water."
200,emotion,n.,情感；情绪,"He showed no emotion during the difficult conversation.","Love is a very powerful emotion.","She was overwhelmed by a mix of emotions."
201,activity,n.,活动；行动；活跃,"The campsite offers swimming and many other outdoor activities.","Economic activity in the region is slowing down.","The streets were buzzing with activity during the festival."
202,automation,n.,自动化；自动操作,"Factory automation has replaced many manual jobs.","Home automation allows you to control your lights from your phone.","We are investing in automation to increase productivity."
203,procedure,n.,程序，手续；步骤,"What is the standard procedure for dealing with a complaint?","The surgical procedure was a complete success.","Follow the start-up procedure as outlined in the manual."
204,renowned,adj.,著名的；有声望的,"The hotel is renowned for its excellent service.","She is a world-renowned expert on climate change.","The city is renowned as a center for fine dining."
